List File,10-JULY1_copy.lst
Start Time,2016-07-01  17:20:05
Sampling Time,37 sec

Count,123  of  123
Particles / ml,7311

Droplet mg/L,NA
Solids mg/L,NA

Efficiency,9.1%
PPI,NA

Summary Stats,Mean,Min,Max,StdDev,% CV

Filter,Count,Count %,Volume %,P/ML,PPM

Particle Segmentation,Dark Threshold 20.00  Light Threshold 20.00
Distance to Nearest Neighbor,0 microns
Close Holes,1 iterations
Basic Size Filter,Diameter (ABD) Min 5.00  Max 10000.00  microns
Advanced Filter,None
AutoImage Frame Rate,12 frames per second
Flash Duration,25.00 microseconds
Camera Gain,0

